return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	license-plate-number	customer-comments
2026-06-09T09:25:01+00:00	171-7911897-7170717	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P9473137	
2026-06-09T09:06:25+00:00	402-9322970-2778717	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P7984269	
2026-06-09T08:17:58+00:00	403-1834232-8995520	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R69949864	
2026-06-09T08:15:03+00:00	402-5041531-9633943	1120100	B08LBGYZ51	X0019BU32H	Cubelelo Drift 3x3 Mirror (Silver) Magic Speed Cube | Shape Shifter Speedcube with Durable Stickers | Advanced 3x3x3 Puzzle Toy for Kids Ages 7-14 Boys Girls & Adults | Collector's Item	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P8853533	
2026-06-09T08:11:11+00:00	408-5689268-0348304	1030478	B09PYRTM4X	X001HYK0PL	Cubelelo Drift 3x3 Jelly Edition Speedcube Magic Cube Puzzle	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P8883345	
2026-06-09T07:57:40+00:00	407-9333339-0240342	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	CCX1	SELLABLE	UNDELIVERABLE_REFUSED	LPNCCX1B5433229	
2026-06-09T07:43:51+00:00	404-3873732-5781142	1630210	B09HH8CC7Y	X00262W227	Cubelelo Drift Number Sliding Magnetic Puzzle 4x4 | Toys For 6-10 Years Old Boys & Girls | 15-Blocks Brain Teaser Puzzle Game for Kids | Educational, Learning, Activity Toy for Return & Birthday Gifts	1	BOM4	SELLABLE	DEFECTIVE	LPNBOM4N41474321	
2026-06-09T07:36:15+00:00	403-8391536-4081965	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	CCX1	SELLABLE	UNDELIVERABLE_REFUSED	LPNCCX1B4158091	
2026-06-09T07:22:22+00:00	404-4990863-6843510	1030400	B07XPNC385	X0012WM1NR	Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable	1	CCX1	SELLABLE	UNDELIVERABLE_REFUSED	LPNCCX1B4784774	
2026-06-09T07:03:39+00:00	403-9657721-1601103	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	CCX1	SELLABLE	UNDELIVERABLE_REFUSED	LPNCCX1B4145083	
2026-06-09T06:51:02+00:00	408-9089536-9092344	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	CCX2	SELLABLE	DEFECTIVE	LPNCCX2B0753114	
2026-06-09T06:46:33+00:00	408-5236697-0123568	1120039	B0DRVW5BNS	X0027ISPWL	Cubelelo Drift 3x3 Mirror Blue (Tiled) Speed Cube | New Blue Version Looks Stunning with Buttery Smooth Turns | Ideal for Kids Above 5 6 Years Old Boys Girls | 3x3x3 Shape-Shifting Design Puzzle Toy	1	BOM4	SELLABLE	UNDELIVERABLE_UNKNOWN	LPNBOM4N41876472	
2026-06-09T06:46:33+00:00	408-5236697-0123568	1460501	B08XK25RRF	X001VLOAKL	Cubelelo Drift 2x2 & 3x3 Cube Gift Box Combo | 2-in-1 Puzzle Toy Game Set for Children Kids & Adults Ages 4 5 6 & Above | Double the Challenge, Twice the Fun | Ultimate Value Saver Combo	1	BOM4	SELLABLE	UNDELIVERABLE_UNKNOWN	LPNBOM4N41876473	
2026-06-09T06:08:57+00:00	404-8437095-1098741	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	BOM4	DEFECTIVE	DEFECTIVE	LPNBOM4N41474233	Wrong/used product has been delivered
2026-06-09T06:06:09+00:00	408-9362547-2195539	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P9435846	
2026-06-09T05:47:22+00:00	171-5550821-9457117	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	DEL4	SELLABLE	UNDELIVERABLE_UNKNOWN	LPNDEL4AA3631572	
2026-06-09T04:56:05+00:00	171-0185491-2123539	TB00003	B0FF47DZ8G	X002C817VR	TinkerBox Color and Pattern Sliding Puzzle Game | Educational Wooden Toy for Kids | Color & Shape Matching Brain Teaser for Ages 3-7 | Preschool Learning Toy for Boys & Girls	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R69531276	
2026-06-09T04:50:49+00:00	402-5075459-8915545	1460553	B0BYVHGR5H	X001WPZI9N	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6557116	
2026-06-09T04:48:35+00:00	408-1177360-3926740	1630201	B09QMNCWYG	X001I5SK8D	Cubelelo Drift Infinity Cube (Green) | Magic Puzzle Cool Mini Gadget for Stress and Anxiety Relief for Kids and Adults | Desk Finger Flip Toy for Fun and Game | for Ages 3 Years and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6685465	
2026-06-09T04:35:10+00:00	406-1667027-7861943	1030500	B08H88N2N9	X0018CDFL3	Cubelelo Drift Warrior 3x3 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 3 3	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R69527357	
2026-06-09T04:18:18+00:00	405-9039616-2025918	1030700_EAN	B0BRXJ9Q4G	X001P8LWWT	Cubelelo Drift 3M Plus v2 3x3 (Magnetic) Cube | New Upgraded Version Based on MoYu RS3M v5 | Dual-Adjustment System | Premium Speedcube for Kids Boys Girls Ages 4+ Year Old & Adults	1	BOM4	CUSTOMER_DAMAGED	DEFECTIVE	LPNBOM4N41925276	
2026-06-09T04:12:39+00:00	406-9805770-1253961	1030651	B0DJQWJFSX	X0025EZ04D	Cubelelo Drift 3M Plus v2 3x3 (Magnetic) (New Upgraded Version) | Based on MoYu RS3M v5 | Dual-Adjustment System | Speedcube for Kids & Adults | Magic Speedy Stress Buster Brainstorming Puzzle	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R69576038	
2026-06-09T04:08:25+00:00	404-9206931-1315569	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	CJB1	SELLABLE	UNDELIVERABLE_REFUSED	LPNCJB1X197490	
2026-06-09T04:03:36+00:00	402-6483442-4372327	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	DEL2	CUSTOMER_DAMAGED	DEFECTIVE	LPNDEL2R69719667	
2026-06-09T04:02:57+00:00	406-3307033-7992313	1060100	B09HH5R69B	X001G4MZFF	Cubelelo Drift 6x6 Stickerless Speed Cube Magic Puzzle for Kids & Adults | Advanced Level Speedcube | Speedy Stress Buster Brainstorming Cube	1	BLR5	CUSTOMER_DAMAGED	SWITCHEROO	LPNBLR5P6562743	
2026-06-09T04:01:47+00:00	402-0605950-4138720	1460553	B0BYVHGR5H	X001WPZI9N	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	1	CCX1	SELLABLE	NEVER_ARRIVED	LPNCCX1B4866680	
2026-06-09T04:00:47+00:00	404-1281167-0202758	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	DEL2	DEFECTIVE	MISSING_PARTS	LPNDEL2R69527326	Missing
2026-06-09T03:58:24+00:00	408-6203745-2821135	1630208	B0CNXSTGRX	X001WV20T3	Cubelelo Drift Mini Rainbow Ball Puzzle | Compact, Multicolor Sphere (Fidget Toy) | Portable Brain Teaser for Kids & Adults | Stress Relief & Fun On-The-Go Puzzle	1	BLR5	SELLABLE	DEFECTIVE	LPNBLR5P6914495	
2026-06-09T03:51:55+00:00	403-9369067-5354752	1030500	B08H88N2N9	X0018CDFL3	Cubelelo Drift Warrior 3x3 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 3 3	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R69784293	
2026-06-09T03:38:55+00:00	404-7803416-8605962	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	DEL2	CUSTOMER_DAMAGED	MISSING_PARTS	LPNDEL2R70068002	
2026-06-09T03:31:12+00:00	405-8006811-4859515	1460501	B08XK25RRF	X001VLOAKL	Cubelelo Drift 2x2 & 3x3 Cube Gift Box Combo | 2-in-1 Puzzle Toy Game Set for Children Kids & Adults Ages 4 5 6 & Above | Double the Challenge, Twice the Fun | Ultimate Value Saver Combo	1	DEL2	CUSTOMER_DAMAGED	SWITCHEROO	LPNDEL2R69761122	
2026-06-09T03:09:17+00:00	171-8932914-6474753	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	BOM7	SELLABLE	UNDELIVERABLE_REFUSED	LPNBOM7D19826310	
2026-06-08T22:51:50+00:00	407-1077611-2923503	1030500	B08H88N2N9	X0018CDFL3	Cubelelo Drift Warrior 3x3 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 3 3	1	BLR5	SELLABLE	UNDELIVERABLE_UNKNOWN	LPNBLR5P9474626	
2026-06-08T20:47:29+00:00	403-7887777-7897120	1030478	B09PYRTM4X	X001HYK0PL	Cubelelo Drift 3x3 Jelly Edition Speedcube Magic Cube Puzzle	1	BLR5	SELLABLE	DEFECTIVE	LPNBLR5P8461236	
2026-06-08T19:33:38+00:00	405-6212936-4793147	1030651	B0DJQWJFSX	X0025EZ04D	Cubelelo Drift 3M Plus v2 3x3 (Magnetic) (New Upgraded Version) | Based on MoYu RS3M v5 | Dual-Adjustment System | Speedcube for Kids & Adults | Magic Speedy Stress Buster Brainstorming Puzzle	1	CCX1	SELLABLE	UNDELIVERABLE_REFUSED	LPNCCX1B4132811	
2026-06-08T18:44:45+00:00	404-7332822-5941951	1030500	B08H88N2N9	X0018CDFL3	Cubelelo Drift Warrior 3x3 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 3 3	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5P6556763	
2026-06-08T17:40:42+00:00	407-2643312-9473125	1460521	B0CGNW2MFJ	X001VZFQYB	Cubelelo Drift Square-1 & Skewb Gift Box | Explore the new Dimension of Uniquely Shaped Puzzles | 2 in 1 Combo Pack of Dual Challenge Delight | Brainstoming Game Toy for Children Kids & Adults	1	BLR5	SELLABLE	SWITCHEROO	LPNBLR5P6631031	I ordered a Skewb and a Square-1 cube, but I received a 4x4 cube and a 5x5 cube instead. The items delivered do not match my order. Please process the return and provide the correct products or a refu
2026-06-08T16:43:50+00:00	402-7552329-5849106	1040300	B09HH8XQ14	X001G4QY25	Cubelelo Drift 4x4 (Black) Speedcube | Challenging Brain Teaser Puzzle Toy for Kids 7-14 Years Old Boys Girls & Adults All Ages | Fast Speed Cube for Intermediate and Advanced Cubers	1	BLR5	SELLABLE	SWITCHEROO	LPNBLR5P6668669	
2026-06-08T13:36:51+00:00	405-0819729-4119546	1160200	B0CZ9M5VBG	X001ZUU6DD	Cubelelo Drift Fisher (Tiled) Magic Cube Puzzle for Kids & Adults | Unique Shape Mod with Premium Design, Smooth Finish Toy for Intermediate and Advanced Solvers | for Ages 3 and Above	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5O0793861	
2026-06-08T13:36:51+00:00	405-0819729-4119546	1290300	B0DB6311DK	X00239RFKR	Cubelelo Drift Megaminx v2 Cube (New Improved Version) | 12-Sided Fun and Challenging Puzzle with Ridge Design | Smooth Turning Dodecahedron | Perfect for Speed-Cubing | Ideal for Kids & Adults	1	BLR5	SELLABLE	UNDELIVERABLE_REFUSED	LPNBLR5O0793859	
2026-06-08T12:24:27+00:00	402-5251281-9981105	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	BOM4	SELLABLE	DEFECTIVE	LPNBOM4N40640984	
2026-06-08T12:22:34+00:00	408-2459550-4916360	1030300_EAN	B0FBMGT6V7	X002C88WLZ	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	1	BOM4	SELLABLE	SWITCHEROO	LPNBOM4N41905011	
2026-06-08T12:09:31+00:00	404-4353302-4321959	1120100	B08LBGYZ51	X0019BU32H	Cubelelo Drift 3x3 Mirror (Silver) Magic Speed Cube | Shape Shifter Speedcube with Durable Stickers | Advanced 3x3x3 Puzzle Toy for Kids Ages 7-14 Boys Girls & Adults | Collector's Item	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R69592835	
2026-06-08T12:07:44+00:00	171-5421193-9919501	1030604	B0DRVQVFJB	X0027JJHDB	Cubelelo Drift 3M v3 3x3 Magnetic Speedcube (Standard) | Latest Version with New & Improved Internal Structure for Smooth Turns & Stability | Cube Toy for 6-10 Years Old Boys Girls Adults	1	BOM4	SELLABLE	DEFECTIVE	LPNBOM4N40922810	
2026-06-08T11:31:00+00:00	406-9472400-0467540	1460553	B0BYVHGR5H	X001WPZI9N	Cubelelo Drift 2x2, 3x3 & Pyraminx Cube Combo (Stickerless) | Ideal for Kids Above 3 4 5 6 Years Old Boys Girls | 3 in 1 Speedcube Gift Set | High Speed Puzzle 3x3x3 2x2x2 Pyramid Triangle	1	DEL2	SELLABLE	UNDELIVERABLE_REFUSED	LPNDEL2R69894384	
2026-06-08T10:29:23+00:00	408-8909644-8781959	1030400	B07XPNC385	X0012WM1NR	Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable	1	CCX1	SELLABLE	SWITCHEROO	LPNCCX1B4847230	
