approval-date	reimbursement-id	case-id	amazon-order-id	reason	sku	fnsku	asin	product-name	condition	currency-unit	amount-per-unit	amount-total	quantity-reimbursed-cash	quantity-reimbursed-inventory	quantity-reimbursed-total	original-reimbursement-id	original-reimbursement-type
2026-06-09T09:15:22+00:00	8414527152		405-1373733-4689963	CustomerReturn	1630210	X00262W227	B09HH8CC7Y	Cubelelo Drift Number Sliding Magnetic Puzzle 4x4 | Toys For 6-10 Years Old Boys & Girls | 15-Blocks Brain Teaser Puzzle Game for Kids | Educational, Learning, Activity Toy for Return & Birthday Gifts	NewItem	INR	155.89	155.89	1	0	1		
2026-06-09T07:42:19+00:00	8413713092		404-4561398-9975522	CustomerServiceIssue	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	41.60	41.60	1	0	1		
2026-06-09T07:38:23+00:00	8413817452		407-1402512-3781160	CustomerServiceIssue	1030300_EAN	X002C88WLZ	B0FBMGT6V7	Cubelelo Drift Explorer 3x3 Speed Cube | Best Starter Speedcube for Beginners | Perfect Brain Teaser for Kids Ages 4 to14 Years Old & Above Boys Girls Children | Smooth Turning Puzzle Toy for Adults	NewItem	INR	41.60	41.60	1	0	1		
2026-06-09T04:48:40+00:00	8413101752		404-5047052-3788361	CustomerReturn	1630222	X002HPDYRF	B0GH18NXXG	Cubelelo Drift Magnetic Tangram Puzzle | with Strong Magnets, Wooden Pieces & Bold Colors | Toys for 5-10 Years Old Boys Girls & Adults | Travel Friendly, Educational Toy for Return & Birthday Gifts	NewItem	INR	283.46	283.46	1	0	1		
2026-06-09T04:36:39+00:00	8413745752		171-8017014-7148319	CustomerServiceIssue	1020200	X0019BU39P	B08LBJ3P8L	Cubelelo Drift 2x2 Stickerless Cube | Beginner Speedcube for Kids Boys Girls Above 3 4 5 6 Years Old & Above | Magic Puzzle Toy | Durable & Smooth Cube with Anti-Pop Design 2x2x2	NewItem	INR	9.42	9.42	1	0	1		
2026-06-09T04:23:26+00:00	8413670032		403-2969630-3708314	CustomerReturn	1030400	X0012WM1NR	B07XPNC385	Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable	NewItem	INR	82.62	82.62	1	0	1		
2026-06-09T03:47:45+00:00	8413346592		406-2658294-0234708	CustomerReturn	1630210	X00262W227	B09HH8CC7Y	Cubelelo Drift Number Sliding Magnetic Puzzle 4x4 | Toys For 6-10 Years Old Boys & Girls | 15-Blocks Brain Teaser Puzzle Game for Kids | Educational, Learning, Activity Toy for Return & Birthday Gifts	NewItem	INR	184.46	184.46	1	0	1		
2026-06-09T03:35:16+00:00	8413434522		403-2969630-3708314	CustomerReturn	1030400	X0012WM1NR	B07XPNC385	Cubelelo Drift 3x3 Black Speedcube | Beginner Cube for Kids & Adults | Magic Speed Stress Buster Brainstorming Puzzle (Multicolor) | Anti-Pop Technology | Smooth Turning | Durable	NewItem	INR	82.62	82.62	1	0	1		
2026-06-09T01:07:04+00:00	8413015102		171-4832654-9258740	CustomerServiceIssue	1630208	X001WV20T3	B0CNXSTGRX	Cubelelo Drift Mini Rainbow Ball Puzzle | Compact, Multicolor Sphere (Fidget Toy) | Portable Brain Teaser for Kids & Adults | Stress Relief & Fun On-The-Go Puzzle	NewItem	INR	1.18	1.18	1	0	1		
2026-06-08T22:10:57+00:00	8413046372		404-4443482-5201947	CustomerServiceIssue	1460580	X002345VBR	B079WVQD89	Cubelelo Drift 4x4 with Cube Lubricant and Stand Combo | High-Performance Speed Cube | Adjustable Tension & Smooth Turning | Durable & Reliable | Ideal for All Ages	NewItem	INR	385.56	385.56	1	0	1		
